0.0 0
0.0022056 4294967295
ssthresh 0.607678: 14280
ssthresh 0.608309: 14280
ssthresh 0.608939: 14280
ssthresh 0.60957: 14280
ssthresh 0.6102: 14280
ssthresh 0.61083: 14280
ssthresh 0.611461: 14280
ssthresh 0.612091: 14280
ssthresh 0.612722: 14280
ssthresh 0.613352: 14280
ssthresh 0.613982: 14280
ssthresh 0.614613: 14280
ssthresh 0.615243: 14280
ssthresh 0.615874: 14280
ssthresh 0.616504: 14280
ssthresh 0.617134: 14280
ssthresh 0.617765: 14280
ssthresh 0.618395: 14280
ssthresh 0.619026: 14280
ssthresh 0.619656: 14280
ssthresh 0.620286: 14280
ssthresh 0.620917: 14280
ssthresh 0.621547: 14280
ssthresh 0.622178: 14280
ssthresh 0.622808: 14280
ssthresh 0.623438: 14280
ssthresh 0.624069: 14280
ssthresh 0.624699: 14280
ssthresh 0.62533: 14280
ssthresh 0.62596: 14280
ssthresh 0.62659: 14280
ssthresh 0.627221: 14280
ssthresh 0.627851: 14280
ssthresh 0.628482: 14280
ssthresh 0.629112: 14280
ssthresh 0.629742: 14280
ssthresh 0.630373: 14280
ssthresh 0.631003: 14280
ssthresh 0.631634: 14280
ssthresh 0.632264: 14280
ssthresh 0.632894: 14280
ssthresh 0.633525: 14280
ssthresh 0.634155: 14280
ssthresh 0.634786: 14280
ssthresh 0.635416: 14280
ssthresh 0.636046: 14280
ssthresh 0.636677: 14280
ssthresh 0.637307: 14280
ssthresh 0.637938: 14280
ssthresh 0.638568: 14280
ssthresh 0.639198: 14280
ssthresh 0.639829: 14280
ssthresh 0.640459: 14280
ssthresh 0.64109: 14280
ssthresh 0.64172: 14280
ssthresh 0.64235: 14280
ssthresh 0.642981: 14280
ssthresh 0.643611: 14280
ssthresh 0.644242: 14280
ssthresh 0.644872: 14280
ssthresh 0.645502: 14280
ssthresh 0.646133: 14280
ssthresh 0.646763: 14280
ssthresh 0.647394: 14280
ssthresh 0.648024: 14280
ssthresh 0.648654: 14280
ssthresh 0.649285: 14280
ssthresh 0.649915: 14280
ssthresh 0.650546: 14280
ssthresh 0.651176: 14280
ssthresh 0.651806: 14280
ssthresh 0.652437: 14280
ssthresh 0.653067: 14280
ssthresh 0.653698: 14280
ssthresh 0.654328: 14280
ssthresh 0.654958: 14280
ssthresh 0.655589: 14280
ssthresh 0.656219: 14280
ssthresh 0.65685: 14280
ssthresh 0.65748: 14280
ssthresh 0.65811: 14280
ssthresh 0.658741: 14280
